(954.0, 11163.0) ==> (1125.0, 11331.0) ==> (1296.0, 11499.0) ==> (1467.0, 11667.0)
(954.0, 11163.0) ==> (1125.0, 11331.0) ==> (1296.0, 11499.0) ==> (1467.0, 11667.0)
(954.0, 11163.0) ==> (1125.0, 11331.0) ==> (1296.0, 11499.0) ==> (1467.0, 11667.0)
(954.0, 11163.0) ==> (1125.0, 11331.0) ==> (1296.0, 11499.0) ==> (1467.0, 11667.0)
(1467.0, 11667.0) ==> (1657.0, 11796.0) ==> (1847.0, 11925.0) ==> (2037.0, 12054.0)
(1467.0, 11667.0) ==> (1657.0, 11796.0) ==> (1847.0, 11925.0) ==> (2037.0, 12054.0)
(1467.0, 11667.0) ==> (1657.0, 11796.0) ==> (1847.0, 11925.0) ==> (2037.0, 12054.0)
(2037.0, 12054.0) ==> (2238.0, 12207.0) ==> (2439.0, 12360.0) ==> (2640.0, 12513.0)
(1467.0, 11667.0) ==> (1657.0, 11796.0) ==> (1847.0, 11925.0) ==> (2037.0, 12054.0)
(2037.0, 12054.0) ==> (2238.0, 12207.0) ==> (2439.0, 12360.0) ==> (2640.0, 12513.0)
(2037.0, 12054.0) ==> (2238.0, 12207.0) ==> (2439.0, 12360.0) ==> (2640.0, 12513.0)
(2037.0, 12054.0) ==> (2238.0, 12207.0) ==> (2439.0, 12360.0) ==> (2640.0, 12513.0)
(2640.0, 12513.0) ==> (2878.0, 12523.0) ==> (3116.0, 12533.0) ==> (3354.0, 12543.0)
(2640.0, 12513.0) ==> (2878.0, 12523.0) ==> (3116.0, 12533.0) ==> (3354.0, 12543.0)
(2640.0, 12513.0) ==> (2878.0, 12523.0) ==> (3116.0, 12533.0) ==> (3354.0, 12543.0)
(2640.0, 12513.0) ==> (2878.0, 12523.0) ==> (3116.0, 12533.0) ==> (3354.0, 12543.0)
(3846.0, 12393.0) ==> (3682.0, 12443.0) ==> (3518.0, 12493.0) ==> (3354.0, 12543.0)
(3846.0, 12393.0) ==> (3682.0, 12443.0) ==> (3518.0, 12493.0) ==> (3354.0, 12543.0)
(3846.0, 12393.0) ==> (3682.0, 12443.0) ==> (3518.0, 12493.0) ==> (3354.0, 12543.0)
(3846.0, 12393.0) ==> (3682.0, 12443.0) ==> (3518.0, 12493.0) ==> (3354.0, 12543.0)
(7140.0, 6993.0) ==> (7581.0, 7260.0) ==> (8022.0, 7527.0) ==> (8463.0, 7794.0)
(7140.0, 6993.0) ==> (7581.0, 7260.0) ==> (8022.0, 7527.0) ==> (8463.0, 7794.0)
(7140.0, 6993.0) ==> (7581.0, 7260.0) ==> (8022.0, 7527.0) ==> (8463.0, 7794.0)
(5913.0, 5886.0) ==> (6322.0, 6255.0) ==> (6731.0, 6624.0) ==> (7140.0, 6993.0)
(7140.0, 6993.0) ==> (7581.0, 7260.0) ==> (8022.0, 7527.0) ==> (8463.0, 7794.0)
(5913.0, 5886.0) ==> (6322.0, 6255.0) ==> (6731.0, 6624.0) ==> (7140.0, 6993.0)
(5913.0, 5886.0) ==> (6322.0, 6255.0) ==> (6731.0, 6624.0) ==> (7140.0, 6993.0)
(4737.0, 4710.0) ==> (5129.0, 5102.0) ==> (5521.0, 5494.0) ==> (5913.0, 5886.0)
(5913.0, 5886.0) ==> (6322.0, 6255.0) ==> (6731.0, 6624.0) ==> (7140.0, 6993.0)
(4737.0, 4710.0) ==> (5129.0, 5102.0) ==> (5521.0, 5494.0) ==> (5913.0, 5886.0)
(4737.0, 4710.0) ==> (5129.0, 5102.0) ==> (5521.0, 5494.0) ==> (5913.0, 5886.0)
(4737.0, 4710.0) ==> (5129.0, 5102.0) ==> (5521.0, 5494.0) ==> (5913.0, 5886.0)
(4737.0, 4710.0) ==> (4599.0, 5158.0) ==> (4461.0, 5606.0) ==> (4323.0, 6054.0)
(4737.0, 4710.0) ==> (4599.0, 5158.0) ==> (4461.0, 5606.0) ==> (4323.0, 6054.0)
(4737.0, 4710.0) ==> (4599.0, 5158.0) ==> (4461.0, 5606.0) ==> (4323.0, 6054.0)
(4737.0, 4710.0) ==> (4599.0, 5158.0) ==> (4461.0, 5606.0) ==> (4323.0, 6054.0)
(4323.0, 6054.0) ==> (4214.0, 6774.0) ==> (4105.0, 7494.0) ==> (3996.0, 8214.0)
(4323.0, 6054.0) ==> (4214.0, 6774.0) ==> (4105.0, 7494.0) ==> (3996.0, 8214.0)
(4323.0, 6054.0) ==> (4214.0, 6774.0) ==> (4105.0, 7494.0) ==> (3996.0, 8214.0)
(4323.0, 6054.0) ==> (4214.0, 6774.0) ==> (4105.0, 7494.0) ==> (3996.0, 8214.0)
(3996.0, 8214.0) ==> (3995.0, 9017.0) ==> (3994.0, 9820.0) ==> (3993.0, 10623.0)
(3996.0, 8214.0) ==> (3995.0, 9017.0) ==> (3994.0, 9820.0) ==> (3993.0, 10623.0)
(3996.0, 8214.0) ==> (3995.0, 9017.0) ==> (3994.0, 9820.0) ==> (3993.0, 10623.0)
(3993.0, 10623.0) ==> (3921.0, 10962.0) ==> (3849.0, 11301.0) ==> (3777.0, 11640.0)
(3996.0, 8214.0) ==> (3995.0, 9017.0) ==> (3994.0, 9820.0) ==> (3993.0, 10623.0)
(3993.0, 10623.0) ==> (3921.0, 10962.0) ==> (3849.0, 11301.0) ==> (3777.0, 11640.0)
(3993.0, 10623.0) ==> (3921.0, 10962.0) ==> (3849.0, 11301.0) ==> (3777.0, 11640.0)
(3777.0, 11640.0) ==> (3728.0, 11861.0) ==> (3679.0, 12082.0) ==> (3630.0, 12303.0)
(3993.0, 10623.0) ==> (3921.0, 10962.0) ==> (3849.0, 11301.0) ==> (3777.0, 11640.0)
(3777.0, 11640.0) ==> (3728.0, 11861.0) ==> (3679.0, 12082.0) ==> (3630.0, 12303.0)
(3777.0, 11640.0) ==> (3728.0, 11861.0) ==> (3679.0, 12082.0) ==> (3630.0, 12303.0)
(3630.0, 12303.0) ==> (4092.0, 12912.0) ==> (4554.0, 13521.0) ==> (5016.0, 14130.0)
(3777.0, 11640.0) ==> (3728.0, 11861.0) ==> (3679.0, 12082.0) ==> (3630.0, 12303.0)
(3630.0, 12303.0) ==> (4092.0, 12912.0) ==> (4554.0, 13521.0) ==> (5016.0, 14130.0)
(3630.0, 12303.0) ==> (4092.0, 12912.0) ==> (4554.0, 13521.0) ==> (5016.0, 14130.0)
(3630.0, 12303.0) ==> (4092.0, 12912.0) ==> (4554.0, 13521.0) ==> (5016.0, 14130.0)
(5016.0, 14130.0) ==> (5115.0, 14201.0) ==> (5214.0, 14272.0) ==> (5313.0, 14343.0)
(5016.0, 14130.0) ==> (5115.0, 14201.0) ==> (5214.0, 14272.0) ==> (5313.0, 14343.0)
(5016.0, 14130.0) ==> (5115.0, 14201.0) ==> (5214.0, 14272.0) ==> (5313.0, 14343.0)
(5016.0, 14130.0) ==> (5115.0, 14201.0) ==> (5214.0, 14272.0) ==> (5313.0, 14343.0)
(5646.0, 14043.0) ==> (5535.0, 14143.0) ==> (5424.0, 14243.0) ==> (5313.0, 14343.0)
(5646.0, 14043.0) ==> (5535.0, 14143.0) ==> (5424.0, 14243.0) ==> (5313.0, 14343.0)
(5646.0, 14043.0) ==> (5535.0, 14143.0) ==> (5424.0, 14243.0) ==> (5313.0, 14343.0)
(5646.0, 14043.0) ==> (5535.0, 14143.0) ==> (5424.0, 14243.0) ==> (5313.0, 14343.0)
(5670.0, 13326.0) ==> (5662.0, 13565.0) ==> (5654.0, 13804.0) ==> (5646.0, 14043.0)
(5670.0, 13326.0) ==> (5662.0, 13565.0) ==> (5654.0, 13804.0) ==> (5646.0, 14043.0)
(5670.0, 13326.0) ==> (5662.0, 13565.0) ==> (5654.0, 13804.0) ==> (5646.0, 14043.0)
(6210.0, 11967.0) ==> (6030.0, 12420.0) ==> (5850.0, 12873.0) ==> (5670.0, 13326.0)
(5670.0, 13326.0) ==> (5662.0, 13565.0) ==> (5654.0, 13804.0) ==> (5646.0, 14043.0)
(6210.0, 11967.0) ==> (6030.0, 12420.0) ==> (5850.0, 12873.0) ==> (5670.0, 13326.0)
(6210.0, 11967.0) ==> (6030.0, 12420.0) ==> (5850.0, 12873.0) ==> (5670.0, 13326.0)
(7284.0, 10266.0) ==> (6926.0, 10833.0) ==> (6568.0, 11400.0) ==> (6210.0, 11967.0)
(6210.0, 11967.0) ==> (6030.0, 12420.0) ==> (5850.0, 12873.0) ==> (5670.0, 13326.0)
